text,category,priority
"Antivirus detected Trojan on my machine connecting to 1921.68.1.76. Potential secruity breach, please nivestigate immediately.",Security Incident,High
"Laptop is extremely slow, apps tae minutes to open.",Performance Issue,Medium
Excle plugin for repotring fails with stacktrace: ORA-1781. pls,Software Bug,Medium
"My AD account is locked, cn't log into Windows or email.",Account Issue,Low
Remote desktop to prodution server is laggy and unusable. This is delaying criitcal month-end processing. tnx,Performance Issue,Critical
Printer in floor 3 is jammed and shows error code E878.,Hardware Issue,Medium
Printer in lfoor 3 is jammde and shows error code E837. urgnt,Hardware Issue,Low
"Hi team, Cannot reach VPN, connection timed out while pingnig 10.0.12.44.",Network Problem,Medium
Monitor lfickers and sometimes goes completely black during meetings.,Hardware Issue,Medium
"Hi tea, SSO loin fails with 'invalid credentials' even ater password reset.",Account Issue,Low
"Hi team, Oultook keeps crashing with error 0x80070005 when sending emails. Needs immediate fix, critical business process impacted. tnx",Software Bug,High
Otulook keesp crashing with error 0x80070005 when sendign emails,Software Bug,High
SSO login fails with 'invalid credentials' even after passwrd reset.,Account Issue,Medium
"My AD account is locked, can't log into Windows or email.",Account Issue,Medium
Users in branch office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet. Etire team is unable to access critical systems.,Network Problem,Critical
"Hi team, Printer in floor 3 is jammed and shos error code E485",Hardware Issue,High
USB ports on the docikng sttion stopped working after last restart.,Hardware Issue,Low
"Hi team, New joiner r.kumar needs acces to Salesforce with standard permissions.",Access Request,Medium
Printer in floor 3 is jammd and shosw error ocde E844. This is blockng my work and I have daedlines today.,Hardware Issue,High
"Hi team, SSO login fails wtih 'invalid credentials' even after password reset.",Account Issue,Medium
"Hi team, Please grant rad-only access to Confluence for user r.kumar.",Access Request,Low
SSO login fails with 'invalid credentails' even after password reset asap,Account Issue,Medium
"I lost access to VPN after role change, getting access denied.",Access Request,Low
"Hi tea,m WiFi keeps dropping every few minutes in meeting room A. Entire team is unable to access crtical systems.",Network Problem,High
Latency to our database server at 10..020.209 is over 300ms. Entire team is unable to access critical sytems. asap,Network Problem,Critical
"Multiple failed login attempts detected on my account overnight. Potential security breach, please invstigate immediately.",Security Incident,Critical
WiFi keeps dropping every few minutes in meeting room A,Network Problem,High
"Hi team, Please grant read-only access to Salesforce for user m",Access Request,Low
"Hi team, My laptop keeps shutting down randomly whlie working on VPN.",Hardware Issue,Medium
"Hi team, Outlook keeps crashing with error 080070005 whne sending emails. tnx",Software Bug,Medium
Please grant read-only access to HR prtal for user asmiht,Access Request,Medium
Monitor flickers and sometimes goes completely black during meetings. This is blocking my wrok and I have deadlines today.,Hardware Issue,Critical
"Hi team, Monitor flickers and sometimes gos completely back during meetings.",Hardware Issue,Medium
"Laptop is extremely slow, apps take minutes to open. Ths is delaying critical month-end processing.",Performance Issue,High
Getting 'account disabled' message whn trying to sign in,Account Issue,Medium
"After the latest update, our ERP clent freezes on the login screen.",Software Bug,Low
"Hi tam, Requesing VPN access for contractor jode for the enxt 3 months.",Access Request,Medium
Getting 'account disabled' mesasge hwen trying to sign in,Account Issue,Low
"Hi team, USB pors on the docking station stopped working after last restart",Hardware Issue,High
"Outlook keps crashing with erorr 0x80070005 when sending emaisl. Needs immediate fix, critical business process impacted.",Software Bug,High
Getting 'accunt disabled' message when trying to sign in.,Account Issue,Low
Getting error 'NullReferenceException' whenever I try to save in the CRM.,Software Bug,Medium
SAP transactons are timing out and running very slowly today,Performance Issue,Medium
"After the latest update, our ERP client freezes on the login screen. Needs immediate fix, critcial business process impacted.",Software Bug,High
Requesting VPN access for contractor jdoe for the next 3 months.,Access Request,Medium
My laptop keeps shutting down randomly while working on VPN.,Hardware Issue,Medium
Remote destop to production srever is laggy and unusable. This is delaying critical month-end processing.,Performance Issue,High
Please grant read-only access to Confluence for user r.kumar. asap,Access Request,Medium
Password reset link for my account has xepired multiple times. urgnt,Account Issue,Medium
"The keyboard on my desktop is not responding, tied reconnecting US. asap",Hardware Issue,Medium
Gettng 'account disabled' message when trying to sign in.,Account Issue,Low
Please grant read-only accss to Salesforce for user m.garcia. User is blocked from on-boarding taks.,Access Request,High
Excel plugin for reporting fails with stacktrace: ORA-4259. urgnt,Software Bug,Medium
"eRceived phishing email asking for bank details from fake IT support. Potential security breach, please investigate immediately.",Security Incident,High
"Hi team, fAter the latest update, our ERP client freezes on the login screen.",Software Bug,Medium
SAP transactions are timing out and running very slowly today,Performance Issue,High
Printer in floor 3 is jammd and shows error coed E60.,Hardware Issue,Low
Reports in BI dashboard take voer 5 minutes to load,Performance Issue,Critical
Excel plgin for reporting fils with stacktrace: ORA-8496,Software Bug,Medium
Remote desktop to productin server is laggy and unusable. This is delaying critical month-end processing.,Performance Issue,Critical
WiFi keeps dropping every few mniutes in meeting room A. Entire team is unable to access critical systems.,Network Problem,High
"Hi team, My laptop keeps shutting don randomly whiel working on VPN. asap",Hardware Issue,Medium
"Hi team, Latenyc to our database server at 10.0.6.23 is over 300ms. Entire team is unable to acces critical systems.",Network Problem,Critical
SAP transactions are timing out and urnning very slowly tdoay.,Performance Issue,Medium
Requesting VPN access for contractor m.garcia for the next 3 months.,Access Request,Medium
"Hi tam, My AD account is locked, cn't log into Windows or email.",Account Issue,Low
"Hi team, New joiner asmith needs access to Confluence with standard permissions.",Access Request,Medium
"Hi team, New joiner r.kumar needs access to Saleforce with standard permissions. User is blocked from on-boarding tasks.",Access Request,High
Outlook keeps crashing with reror 0x80070005 when sending emails,Software Bug,High
WiFi keeps dropping every few minutes in meeting room A.,Network Problem,Medium
"After the latest update, our ERP client freezes on the login screen.",Software Bug,Low
"Laptop is extremely slow, apps take minutes to open",Performance Issue,High
"Antivirus detected Trojan on my machine connecting to 192.168.9.132. Potential security breach, please investigate immediately.",Security Incident,High
"Hi team, My laptop keeps shutting down randomly while working on VPN. This is blocking my wok and I have deadlines today.",Hardware Issue,High
"Hi team, Received phishing email asking for bank details from fake IT support.",Security Incident,Low
Please grant read-only access to SAP for user r.kumar.,Access Request,Low
"Getting error 'NullReferenceException' whenever I try to save in the CRM. Needs immediate fix, critical business proces impacted.",Software Bug,High
SAP transactions are timing out and running vey slowly today,Performance Issue,Medium
"Hi team, Antivirus detected rTojan on my machine connecting to 192 tnx",Security Incident,Critical
Remote desktop to production server is laggy and uusable,Performance Issue,High
Remote desktop to porduction server is laggy and unusable.,Performance Issue,Medium
"Hi team, Outlook keeps crashing with error 0x80070005 when snding emails. Needs immediate fi, critical business process impacted.",Software Bug,Critical
Remote desktop to production server is laggy and unusable.,Performance Issue,Low
"Noticed unknown software installed that I did not approve. Potential security breach, please investigate immediately.",Security Incident,High
Printer in floor 3 is jammed and shows error code E284.,Hardware Issue,Low
Requesting VPN access for contractor jdoe for the next 3 months. tnx,Access Request,Medium
Getting intermittent packet loss whne accessing remote desktop. Enire team is uable to accss critical systems.,Network Problem,High
Received phishing email asking for bank detials from fake IT support.,Security Incident,Medium
"Hi tea, Remote desktop to production serer is laggy and unuable. pls",Performance Issue,Medium
Monitor flickesr and soemtimes ges completely black during meetings.,Hardware Issue,Medium
"Laptop is extremely slow, apps take minutes to opne",Performance Issue,Low
"The kyeboard on my desktop is not reponding, tried reconnecting USB. This is blocikng my work and I have deadlines today.",Hardware Issue,High
"Laptop is extreemly slow, aps take minutes to opn.",Performance Issue,Low
WiFi keeps dropping every few minutes in meeting room A.,Network Problem,Medium
Noticed unknown software instaled that I did not approve,Security Incident,Low
Outlook keeps crashing with error 0x8007005 when sending emails.,Software Bug,Medium
WFi keeps dropping every few minutes in meetnig room A,Network Problem,Critical
Requesting VPN access for contractor r.kumar for the nxt 3 months.,Access Request,Low
Remote desktop to production server is laggy and unusable.,Performance Issue,Low
Pelase grant read-only access to VPN for uer asmit.,Access Request,Low
"Multiple failed login attempts detected on my account overnigt. Potential securiy breach, please investigate immediately.",Security Incident,Critical
"My AD account is locked, can't log into Windows or email.",Account Issue,Low
Notiecd unknown software installed that I did not approve,Security Incident,Low
"Antivirus edtected Trjoan on my machine connecting to 192.168.1.248. Potental security breach, please investigate immediately. pls",Security Incident,Critical
Requesting VPN acces for contractro m,Access Request,Low
Requesing VPN access for contractor joe for the next 3 months,Access Request,Low
SSO login fails with 'invalid rcedentials' even after password reset,Account Issue,Low
"Hi team, Remote desktop to production server is laggy and unusable.",Performance Issue,Medium
SSO logn fails with 'invalid credentials' een after password reset.,Account Issue,Medium
Reqeusting VPN access for contractor m.garcai for the netx 3 months.,Access Request,Low
Reports in BI dashboard take over 5 minutes to load. This is delayng critical month-end processing.,Performance Issue,High
"Laptop is extremely slow, apps take miuntes to open",Performance Issue,High
Latency to our database server at 10,Network Problem,Critical
Gteting 'accont disabled' message hwen trying to sign in.,Account Issue,Medium
SAP transactions are timing out and running very slowly toda. Ths is delaying cirtical month-end processing. pls,Performance Issue,High
"Multiple failed login attempts detected on my account overnight. Potential security breach, please investgate immediately.",Security Incident,High
xEcel plugin for repotring fials with stacktrace: ORA-5016,Software Bug,Low
Outlook ekeps crashing with error 0x80070005 when sending emails.,Software Bug,Medium
Getting 'account disabled' message when trying to sign in.,Account Issue,Medium
Remote desktop to production server is laggy and uusable.,Performance Issue,Medium
Outlook keeps crashing with error 0x80070005 when sending emails,Software Bug,Medium
Multiple failed login attemtps detected on my account ovrnight,Security Incident,High
"The keyboad on my desktop is not responding, tried reconnecting USB.",Hardware Issue,Medium
"Hi team, Printer in flor 3 is jmamed and sows error code E795. This is blocking my work and I have deadlines today. urgnt",Hardware Issue,Critical
The finance app throws HTPT 500 internal server error on login.,Software Bug,Medium
"Hi tea,m I lost access to HR portal after role change, geting access denied",Access Request,Medium
Latency to our database server at 10.0.0.40 is ovr 300ms. Entire team is unable to access critical systems. tnx,Network Problem,Critical
"Hi tema, Requesting VPN access for contractor r",Access Request,Medium
Reports in BI dashboard take over 5 minues to load.,Performance Issue,Low
Printer in floor 3 is jammed and shows error code E137. This is blocking my work and I have deadlines today.,Hardware Issue,High
"I lost access to Salesforce aftre role change, getting access denied.",Access Request,Low
Monitor flickers and sometimes gos completely black during meetings.,Hardware Issue,Low
"My AD accuont is locke, can't log into Widows or meail.",Account Issue,Low
"I lst access to VPN after role change, getting access denied.",Access Request,Medium
"Hi team, I lost cacess to Jra after role change, getting access denied.",Access Request,Medium
"Excel plugin for reporting fails with stactrace: ORA-7974. Needs immediate fix, critcal business pocess impatced.",Software Bug,High
"Cannot raech VPN, connection timed out while pinging 10.0.13.11. Entire team is unalbe to access critical systems.",Network Problem,High
"Hi team, New joinre jdoe needs access to Salesforce with standard permissions.",Access Request,Medium
Getting 'account disabled' message when trying to sign in. Need urgent help to join production call.,Account Issue,High
"I lost access to SAP after role change, getting access denide.",Access Request,Medium
eRmote desktop to production server is lagy and unusable. pls,Performance Issue,Medium
Remote desktop to production server is laggy and unusable.,Performance Issue,Medium
Nticed unknown software installed that I did not approve.,Security Incident,Low
My lptop keeps shtting down randomy while working on VPN. This is blocking my work and I have deadlines today.,Hardware Issue,High
"Hi team, iWFi keeps dropping evrey few minutes in meeting room A",Network Problem,Medium
Users in branch office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet. Entire team is unale to access critical sytsems.,Network Problem,High
Getting intermittent packet loss when accesisng remote desktop.,Network Problem,Low
"The finance app throws HTTP 500 internal server error on login. Needs immediate fix, critical bsiness procss impacted.",Software Bug,High
"Hi team, Received phishnig email asking for bank details from fake IT support.",Security Incident,Medium
WiFi keeps dropping every few mintues in meeting room A. Entire team is unable to acces critcal systems.,Network Problem,High
"Multipe failed login attempst deetcted on my account oevrnight. Potential security breach, please nivestigate immediately.",Security Incident,Critical
"Hi tema, Getting 'account disabled' message when trying to sign in.",Account Issue,Medium
New joiner m,Access Request,Medium
"Hi team, Getting 'account disabled' message when trying to sign in.",Account Issue,Low
"Laptop is extremeyl slow, apps tae minutes to open.",Performance Issue,Medium
My lpatop keeps shutting down randomly while working on VPN,Hardware Issue,Medium
Outlook keeps crashing with error 0x80070005 when sending emails.,Software Bug,Medium
Gtting intermittent packet loss when accessing rmote desktop,Network Problem,High
Monitor flickers and sometimes ges completely black during meetings,Hardware Issue,Medium
"Hi team, Remote desktop to production server is laggy and unusable. Tis is delaying critical month-end processing.",Performance Issue,High
Getting 'account disabled' message when trying to sign in.,Account Issue,Low
"Hi tea, Pasword reset link for my account has expired multiple times.",Account Issue,Low
Reports in BI dashboard tke over 5 minutes to lod. This is delaying critical omnth-end processing.,Performance Issue,Critical
"Hi team, My laptop keeps shutting down randomly while working on VPN",Hardware Issue,Medium
SAP transactions are timing out and running very slowly today.,Performance Issue,Medium
"Hi team, Excel plguin for reporting fails with stacktrace: ORA-8869",Software Bug,High
Getting 'accuont disabled' message when trying to sign in. Need urgent hepl to join production call.,Account Issue,High
SAP transactions are timing out and running very slowly today.,Performance Issue,Medium
Outlook keeps crashing with error 0x8007005 when sending emails.,Software Bug,Medium
USB ports on the docking station stopped working after last restrt. This is blocking my work and I have deadlines today.,Hardware Issue,High
My laptop keps shutting down randomly wile working on VPN.,Hardware Issue,Low
"Hi team, After the latest update, our ERP client freezes on the lgoin screen. tnx",Software Bug,Low
"Received phishing email asking for bnak details from fake IT support. Potential security breach, please investigate immediately. tnx",Security Incident,Critical
WiFi keps dropping every few minutes in meeting room A. Entier team is unable to access citical systems.,Network Problem,High
SAP transactions are timing out and running very slowly today,Performance Issue,Critical
"Hi team, New jioner asmith neds access to HR poratl with standard perissions.",Access Request,Medium
Please grant read-only access to Jira for user asmith.,Access Request,Low
"Hi team, Getting 'account disabed' message when trying to sign in. tnx",Account Issue,Low
Please grant rea-only access to Confluence for user jdoe.,Access Request,Medium
"Cannot reach VPN, connection timed out while pinging 10",Network Problem,Critical
"Multiple failed login attempts detected on my account overnight. Potential security breach, please investigate immediately.",Security Incident,High
Getting error 'NullReferenceException' whenever I try to sve in the CRM.,Software Bug,Medium
USB ports on the docking station stopped working after last restart,Hardware Issue,Low
"Hi team, Please grant read-only access to SAP for user jdoe.",Access Request,Medium
"The finance app throws HTTP 500 internal server error on login. Needs immediate fix, critical business process impacted.",Software Bug,High
"Noticed unknown software installed that I did not approve. Potential securiyt breach, please invesigate immediately.",Security Incident,Critical
The finnace app throws HTTP 500 itnernal server error on login,Software Bug,Low
Requesting VPN access for contractor asmith for the next 3 months. asap,Access Request,Low
"Hi team, The finance app throws HTTP 500 internal server error on login. Needs immediate fx, criical business process impacetd. asap",Software Bug,High
Requesting VPN access for contractor asmith for the next 3 months.,Access Request,Low
SAP transactions are timig out and running very slowly today,Performance Issue,Medium
"Hi tema, I lost access to SAP ater rle cahnge, getting accss denied.",Access Request,Low
Requesting VPN access for conractor m.garcia for the next 3 months. User is blocked from on-boarding tasks.,Access Request,High
My laptop ekeps shutting down randomly while working on VPN.,Hardware Issue,Low
Receivde phishing email asking for abnk details from fake IT support.,Security Incident,Low
"Outlook keeps crasihng with errro 0x80070005 when sneding emails. Needs immediate fix, critical business process impacted.",Software Bug,High
"Hi team, The finance app throws HTTP 500 internal server error on login",Software Bug,Critical
"Received phishing email asking for bank dteails form fake IT support. Potential security breach, please investigate immediately.",Security Incident,Critical
"Hi team, USB ports on the docking station stopped working afer lat restart.",Hardware Issue,Low
"Hi team, New joiner m.garcia eneds access to SAP with standard permissions. User is blocked from on-boarding atsks.",Access Request,High
Noticed unknown software installed that I did not approve,Security Incident,Critical
The finace app throws HTTP 500 internal server errro on lgin.,Software Bug,Medium
Printer in floor 3 is jammed and shos error code E605.,Hardware Issue,Medium
"Hi team, Mointor flickers and sometimes goes completely blcak during meetngs. This is blocking my wok and I have deadlines today.",Hardware Issue,Critical
"Hi team, Multiple failed login attempts detected on my accout overnight",Security Incident,Low
Getting 'account disabled' message when trying to sign in.,Account Issue,Low
Antivirus detected Trojan on my machine connetcing to 192.168.0.208.,Security Incident,Medium
"I lost acess to Salesforce after role change, getting access denied.",Access Request,Medium
Latncy to our database server at 10.0.14.22 is over 300ms.,Network Problem,Medium
USB ports on the docking station stopped working after last restart.,Hardware Issue,Low
Please grant read-only access to VPN for user r.kuar. User is blocked from on-boarding tasks.,Access Request,High
lPease grant read-only access to VPN for user m.garcia.,Access Request,Medium
Multiple failed login attempts detected on my account overnight.,Security Incident,Medium
Multiple failed login attempts detectde on my account overnight.,Security Incident,Medium
WiFi keps dropping every few minutes in meeting room A.,Network Problem,Medium
SSO login fais with 'invalid credentials' even after password reset. Need urgent help to join produtcion call.,Account Issue,High
Reports in BI dashboard take over 5 minutes to load.,Performance Issue,Medium
Latency to our dtaabase server at 10,Network Problem,High
Users in branch office report 'DNS_PROBE_FINISHE_DNXDOMAIN' on intranet. Entire tam is unable to access critical systems.,Network Problem,Critical
Outlook keeps crasihng with error 0x80070005 when sending emails,Software Bug,Medium
"Laptop is extremely slow, apps take minutes to open. asap",Performance Issue,Medium
Remote dsektop to production server is laggy and unuable. This is delaying critical month-end processing. asap,Performance Issue,High
Users in branch office report 'DN_PROBE_FINISHED_NXDOMAIN' on intranet. Entire team is unable to access critical systems.,Network Problem,High
"Cannot reach VP, connection timed out while pinging 10.0.13.197.",Network Problem,Medium
Getting error 'NullReferenceException' whenevre I try to save in the CRM.,Software Bug,Low
"The keyboadr on my desktop is not responding, tried reconnecting USB. This is blocking my work and I have deadlines toady.",Hardware Issue,High
"Hi team, Password reset link for my account has expired multiple times.",Account Issue,Medium
"Hi team, SAP transactions are timing out and running very slowly today. This is delayig critical month-end processing.",Performance Issue,High
My laptop keeps shutting down randomly while worikng on VPN.,Hardware Issue,Medium
The finance app throws HTTP 500 internal server error on login.,Software Bug,Medium
"Hi team, Remote desktop to production server is lagy and unusable.",Performance Issue,Medium
The fnance app throws HTTP 500 internal server error on login,Software Bug,High
"My AD acount is locked, ca'nt log into Windows or email.",Account Issue,Medium
WiFi kepes dropping evrey few minutes in meeting room A. Entire team is unable to accss critical systems.,Network Problem,Critical
Getting 'account disabled' message wen trying to sign in,Account Issue,Critical
Getting 'account disabled' message when trying to sign in. pls,Account Issue,Medium
Getting 'account disabled' message when trying to sign in.,Account Issue,Medium
Requesting VPN access for contractor r.kumar for the netx 3 months.,Access Request,Medium
Getting 'ccount disabled' message when trying to sign in.,Account Issue,Medium
Getting 'account disabled' message whn tryng to sign in.,Account Issue,Medium
Latency to our database server at 10.0.2.165 is over 300ms. Entire tam is unable to access critical systems.,Network Problem,Critical
Users in branch office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet,Network Problem,Low
Getting 'account disabled' message when trying to sign in.,Account Issue,Medium
"Noticed unknown software installed tat I did not approv.e Potential security breach, please investigate immediatley. tnx",Security Incident,Critical
"Cannot reach VPN, conenction timed out while pinging 10.0.18.31.",Network Problem,Medium
Users in branch office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet,Network Problem,Medium
"Hi team, Monitor flickers and sometimes goes completely black during meetings.",Hardware Issue,Medium
SAP transatcions are timing out and running very slowly today. Thsi is delaying critical month-end processing.,Performance Issue,High
New jioner mgarcia needs accses to Jra with standard permissions.,Access Request,Low
SSO login fails with 'invalid credentials' even fater password reset.,Account Issue,Low
My laptop keeps shutting down randomly while working on VPN.,Hardware Issue,Low
"Cannot raech VPN, connection timed out while pinging 10.0.2.27. Entire tema is unable to access critical systems.",Network Problem,High
"The keyboard on my desktop is not responding, tried reconnecting USB.",Hardware Issue,Low
SAP transactions are timing out and running very slowly todya. This is delaying critical month-end processing.,Performance Issue,High
"I lost access to VPN after role change, getting access denide",Access Request,Medium
Multiple failed login attempts detetced on my account overnight.,Security Incident,Medium
Getting 'account disabled' emssage whn trying to sign in.,Account Issue,Medium
Password reset link for my account has expired multiple times pls,Account Issue,Medium
My latop keeps shutting down randomly whle working on VPN.,Hardware Issue,Medium
Users in branch office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet. Entire tem is unable to access critiacl systems.,Network Problem,Critical
"Hi team, My AD account is locked, can't log into iWndows or email.",Account Issue,Medium
Remote desktop to production server is laggy and unusable.,Performance Issue,Medium
Monitor flickers and sometimes goes completely black during meetings. This is blocking my work and I hae deadlines today.,Hardware Issue,High
Getting error 'NullReferenceException' whenever I try to save in the CRM,Software Bug,Medium
Getting intermittent pcket loss when accessing remote edsktop.,Network Problem,Medium
"Hi team, New joiner jdoe needs access to Salesforce with standard permissions. User is bocked fom on-boarding tasks.",Access Request,High
Noticed unknown software installed that I did not approve,Security Incident,High
Getting 'account disabled' message when trying to sign in.,Account Issue,Medium
"Hi team, Latency to our database servre at 10.0.15.82 is oer 30ms. Entire team is unable to access critical systems.",Network Problem,High
"I lost accss to VPN after role change, getting access denied.",Access Request,Low
"Hi team, SAP transactions are timing out and running very slowly today. This is delaying critial monthe-nd processing.",Performance Issue,High
SAP transactions are timing out and running very slowly tody,Performance Issue,Low
"Antivirus detected Trojan on my machine conncting to 192.168.2.7. Potential securty brach, please investigate immediately.",Security Incident,High
"My AD account is locked, can't log into Windows or email.",Account Issue,Low
"Hi team, Getting error 'NullReferenceException' whenever I try to save in the CRM. asap",Software Bug,Medium
Latency to our database server at 10.0.9.110 is over 300ms. Entire team is unable to acces critical systems.,Network Problem,High
"The keyboard on my desktop is not responding, tried reconnecting US. urgnt",Hardware Issue,Medium
"My AD account is locked, can't log into Windows or email.",Account Issue,Medium
"Hi team, Cannt reach VPN, connection timed out while pinigng 10",Network Problem,Critical
"Multiple failed logni attempts detected on my account overnight. Potential security breach, please investigate immediately.",Security Incident,High
"Ntoiced unknown software installed that I did not appove. Potential security breach, please investigate imediately. pls",Security Incident,High
Excel plugin for reporting fails with stactrace: ORA-273.,Software Bug,Low
Getting error 'NullReferenceException' whenever I try to save in the CRM. urgnt,Software Bug,Low
Monitor flickers and sometimes goes completely blck during meetings.,Hardware Issue,Low
"I lost access to iJra afer role change, getting access denied.",Access Request,Medium
Printer in floor 3 is jammed and shows error code E770. This is blocking my owrk and I have deadlines today. asap,Hardware Issue,High
Users in bracnh office report 'DNS_PROBE_FINISHED_NDXOMAIN' on intrant. Entire tam is unable to access critical systems.,Network Problem,Critical
Multiple failed login attempts detected on my account overnight,Security Incident,Low
"Laptop is extremely slow, apps tae miutes to open. This is delaying critical monh-end processing.",Performance Issue,High
New joiner jdoe needs access to Jira with standard permissions.,Access Request,Low
"Hi team, Noticed unknown software installed that I did not approve. Potential security breach, please investigate mimediately.",Security Incident,High
Latency to our database server at 10.0.14.118 is over 300ms. Enire team is unable to access critical systems.,Network Problem,Critical
Getting intermittent packet lss when accessing remote desktop,Network Problem,Low
SSO olgin fails with 'invalid credetnials' even after passwrd reset.,Account Issue,Medium
SAP transactions are timing out and running very slowly today,Performance Issue,High
"The finance app htrows HTP 500 internal server error on login. Needs immediate fix, critcal business process impacted.",Software Bug,High
Remote deskotp to production server is laggy and unusable.,Performance Issue,Medium
rPinter in floor 3 is jammed and shows error code E755. This is blocking my work and I hae deadlnes toda.y,Hardware Issue,High
"My AD account is locked, can't log into Windows or email.",Account Issue,Low
"Hi team, USB ports on the docking station stopped owrking after last restrt.",Hardware Issue,Low
"Multiple failed login atetmpts detected on my account oernight. Potential security breach, pease investigate immediately.",Security Incident,High
"Hi tea, The finance app throws HTTP 500 internal server eror on logni",Software Bug,Critical
Reports in BI dashboard take over 5 minutes to load.,Performance Issue,Medium
Uers in branch office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet. Entie team is unable to access critical sytems.,Network Problem,Critical
"The keybaord on my desktop is not responding, tried reconnecting USB. This is blocking my work and I hve deadlines today.",Hardware Issue,High
"The keyboard on my desktop is not rseponding, tried reconnecting USB.",Hardware Issue,Low
"Noticed unknown software installed that I did not approve. Potential security breach, please investigate immediately.",Security Incident,Critical
New joiner r.kumar eneds access to HR portal with standard permissions.,Access Request,Low
Latency to our database server at 10.0.13.246 is ovr 300ms.,Network Problem,Medium
"Getting error 'NullReferenceException' whenever I try to save in the CRM. Neds immediate fix, critical business process impacted.",Software Bug,High
"The finance app throws HTTP 500 internal server error on login. Needs immediate fix, critical busness process impacted.",Software Bug,Critical
"After the latest update, our ERP client freezes on the login screen. Needs immediate fix, critical business rpocess impacted.",Software Bug,High
Requesting VPN access for contractor m.garcia for the next 3 months.,Access Request,Low
SAP transactions are timing out and running very slowly today. This is delaying critical month-end processing.,Performance Issue,Critical
"I lost access to VPN after role cahnge, getting access denied",Access Request,Medium
"Hi team, USB ports on the docking station stopped working after last restart.",Hardware Issue,Low
Received phishing emial asking for bak details fom fake IT support.,Security Incident,Medium
SAP transactions are timing out and runnnig very slowly today,Performance Issue,Medium
Requesting VPN access for contractor jdoe for the nxet 3 months,Access Request,Low
Requesting VPN access for cnotractor asmith for the next 3 months. User is blocked from on-boarding tasks.,Access Request,High
Multiple failed login attempts detected on my account overnight,Security Incident,High
"Received phihing email aking for bank details from fake IT support. Potential security breach, please investigate immediately.",Security Incident,High
"My AD account is locked, ca't log into Windows or email",Account Issue,Low
USB ports on the docking station stoppde working aftr last restart.,Hardware Issue,Low
"The keyboard on my desktop is not responding, tried reconnecting USB. This is bolcking my work and I have deadlines today.",Hardware Issue,High
Uses in branch office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet. Entire team is unable to access critical systems.,Network Problem,High
"Antivirus detected Trojan on my machine connecting to 192.168.8.235. Potential security breach, please investigate immediately.",Security Incident,High
My laptop keeps sutting down randomly wihle working on VPN. This is blocking my work and I have deadlines today.,Hardware Issue,High
Please grant read-only access to Jira for user asmith.,Access Request,Medium
"Hi team, Remote desktop to production servre is laggy and uusable",Performance Issue,Low
Getting 'account disabled' message when trying to isgn in.,Account Issue,Medium
Reports in BI dasbhoard take ovre 5 minues to load. tnx,Performance Issue,Medium
SSO login fails with 'invalid credentials' even after password reset,Account Issue,Medium
My laptop keeps shutting down randomly while working on VPN.,Hardware Issue,Low
Please grant read-only access to Salesforce for user m.garcia.,Access Request,Low
"Cannot reach VPN, connection timed out while pinging 10.0.11.108. nEtire team is unable to access critical systems.",Network Problem,High
Getting error 'NullReferenceException' whenever I try to save in the CRM,Software Bug,High
Password reset link for my account has expired multiple times.,Account Issue,Medium
Monitor flickers and sometimes goes completely black during meetings.,Hardware Issue,Medium
WiFi keeps dropping every few minutes in meeting room A.,Network Problem,Medium
Getting reror 'NullReferenceException' whenever I try to save in the RCM.,Software Bug,Low
My laptop keeps shutting down randomly while working on VPN. This is blocking my work and I have deadlines today.,Hardware Issue,High
SAP transactions are timing out and running very slowy today. This is delaing critical month-end processing.,Performance Issue,Critical
Remote desktop to rpoduction sever is laggy and unusable.,Performance Issue,Low
Reecived phishing email asking for bank deails from fake IT suport.,Security Incident,Low
"Hi team, Noticed unknonw software installed that I did not aprove",Security Incident,Low
Getting error 'NullReferenceExcetion' whenever I try to save in the CRM,Software Bug,Critical
Multiple failed loign attempts detected on my account overnight. tnx,Security Incident,Medium
WiFi keeps drpoping every few minutes in meeting room A. Entire team is unable to access critical systems.,Network Problem,Critical
Received phishing email asking for bank details from fake IT support,Security Incident,High
"Hi team, Password reset link for my acount has expied multiple tmies.",Account Issue,Medium
Received phishing email asking for bank details from fake IT support.,Security Incident,Medium
"Hi team, After the latet update, our ERP client freezes on the login screen.",Software Bug,Low
WiFi keeps dropping every few minutes in meeting room A,Network Problem,Critical
SSO login fails with 'invald credentials' even after password reset. Need urgent help to join production call.,Account Issue,High
"After the latest update, our ERP client freezes on the loign screen.",Software Bug,Low
Monitor flickers and sometimes gose completely black druing meetings. This is blocking my work and I have deadlines toady.,Hardware Issue,High
My laptop keeps shutting dwon randmoly while working on VNP. urgnt,Hardware Issue,Low
"Laptop is extremely slw, apps take minutes to open.",Performance Issue,Medium
"Laptop is extremely slow, aps take minutes to open.",Performance Issue,Medium
Passowrd reset link for my account has expired multiple times.,Account Issue,Low
Passowrd reset link for my acocunt has expired multiple times.,Account Issue,Medium
